"ID";"Perioden";"BevolkingAanEindVanGekozenPeriode_8"
"0";"1995MM01";"15430178"
"1";"1995MM02";"15436176"
"2";"1995MM03";"15441920"
"4";"1995MM04";"15446212"
"5";"1995MM05";"15452370"
"6";"1995MM06";"15458846"
"8";"1995MM07";"15463815"
"9";"1995MM08";"15471535"
"10";"1995MM09";"15478799"
"12";"1995MM10";"15485909"
"13";"1995MM11";"15491273"
"14";"1995MM12";"15493889"
"17";"1996MM01";"15497600"
"18";"1996MM02";"15500831"
"19";"1996MM03";"15504470"
"21";"1996MM04";"15508473"
"22";"1996MM05";"15514286"
"23";"1996MM06";"15520466"
"25";"1996MM07";"15527856"
"26";"1996MM08";"15537856"
"27";"1996MM09";"15546396"
"29";"1996MM10";"15555574"
"30";"1996MM11";"15562870"
"31";"1996MM12";"15567107"
"34";"1997MM01";"15572186"
"35";"1997MM02";"15577358"
"36";"1997MM03";"15582958"
"38";"1997MM04";"15590188"
"39";"1997MM05";"15597616"
"40";"1997MM06";"15605007"
"42";"1997MM07";"15613819"
"43";"1997MM08";"15622541"
"44";"1997MM09";"15633594"
"46";"1997MM10";"15642072"
"47";"1997MM11";"15648779"
"48";"1997MM12";"15654192"
"51";"1998MM01";"15663598"
"52";"1998MM02";"15670208"
"53";"1998MM03";"15675987"
"55";"1998MM04";"15681594"
"56";"1998MM05";"15688771"
"57";"1998MM06";"15696325"
"59";"1998MM07";"15705474"
"60";"1998MM08";"15718624"
"61";"1998MM09";"15732690"
"63";"1998MM10";"15744644"
"64";"1998MM11";"15754242"
"65";"1998MM12";"15760225"
"68";"1999MM01";"15766968"
"69";"1999MM02";"15773265"
"70";"1999MM03";"15780138"
"72";"1999MM04";"15788353"
"73";"1999MM05";"15796073"
"74";"1999MM06";"15804576"
"76";"1999MM07";"15814266"
"77";"1999MM08";"15826589"
"78";"1999MM09";"15839389"
"80";"1999MM10";"15848392"
"81";"1999MM11";"15857134"
"82";"1999MM12";"15863950"
"85";"2000MM01";"15869939"
"86";"2000MM02";"15879679"
"87";"2000MM03";"15889165"
"89";"2000MM04";"15897401"
"90";"2000MM05";"15907990"
"91";"2000MM06";"15917484"
"93";"2000MM07";"15928324"
"94";"2000MM08";"15942983"
"95";"2000MM09";"15956916"
"97";"2000MM10";"15968671"
"98";"2000MM11";"15980119"
"99";"2000MM12";"15987075"
"102";"2001MM01";"15995169"
"103";"2001MM02";"16003824"
"104";"2001MM03";"16011457"
"106";"2001MM04";"16019702"
"107";"2001MM05";"16029662"
"108";"2001MM06";"16038505"
"110";"2001MM07";"16048988"
"111";"2001MM08";"16062264"
"112";"2001MM09";"16075342"
"114";"2001MM10";"16086481"
"115";"2001MM11";"16095715"
"116";"2001MM12";"16105285"
"119";"2002MM01";"16112900"
"120";"2002MM02";"16118953"
"121";"2002MM03";"16124125"
"123";"2002MM04";"16130246"
"124";"2002MM05";"16136807"
"125";"2002MM06";"16142509"
"127";"2002MM07";"16150395"
"128";"2002MM08";"16161182"
"129";"2002MM09";"16172237"
"131";"2002MM10";"16181025"
"132";"2002MM11";"16186463"
"133";"2002MM12";"16192572"
"136";"2003MM01";"16197712"
"137";"2003MM02";"16202461"
"138";"2003MM03";"16206096"
"140";"2003MM04";"16210401"
"141";"2003MM05";"16216206"
"142";"2003MM06";"16220466"
"144";"2003MM07";"16224335"
"145";"2003MM08";"16231660"
"146";"2003MM09";"16240940"
"148";"2003MM10";"16247162"
"149";"2003MM11";"16250434"
"150";"2003MM12";"16258032"
"153";"2004MM01";"16259377"
"154";"2004MM02";"16261277"
"155";"2004MM03";"16262757"
"157";"2004MM04";"16264229"
"158";"2004MM05";"16268052"
"159";"2004MM06";"16272506"
"161";"2004MM07";"16275863"
"162";"2004MM08";"16281256"
"163";"2004MM09";"16289585"
"165";"2004MM10";"16293737"
"166";"2004MM11";"16297779"
"167";"2004MM12";"16305526"
"170";"2005MM01";"16306977"
"171";"2005MM02";"16307888"
"172";"2005MM03";"16307482"
"174";"2005MM04";"16308869"
"175";"2005MM05";"16311019"
"176";"2005MM06";"16312596"
"178";"2005MM07";"16315238"
"179";"2005MM08";"16319511"
"180";"2005MM09";"16327575"
"182";"2005MM10";"16330818"
"183";"2005MM11";"16331930"
"184";"2005MM12";"16334210"
"187";"2006MM01";"16334715"
"188";"2006MM02";"16335459"
"189";"2006MM03";"16334090"
"191";"2006MM04";"16333559"
"192";"2006MM05";"16334600"
"193";"2006MM06";"16336676"
"195";"2006MM07";"16337253"
"196";"2006MM08";"16342333"
"197";"2006MM09";"16348917"
"199";"2006MM10";"16352678"
"200";"2006MM11";"16352972"
"201";"2006MM12";"16357992"
"204";"2007MM01";"16359133"
"205";"2007MM02";"16362938"
"206";"2007MM03";"16365065"
"208";"2007MM04";"16367596"
"209";"2007MM05";"16371278"
"210";"2007MM06";"16374541"
"212";"2007MM07";"16377339"
"213";"2007MM08";"16383275"
"214";"2007MM09";"16393843"
"216";"2007MM10";"16399139"
"217";"2007MM11";"16401009"
"218";"2007MM12";"16405399"
"221";"2008MM01";"16409106"
"222";"2008MM02";"16414307"
"223";"2008MM03";"16418055"
"225";"2008MM04";"16423337"
"226";"2008MM05";"16428686"
"227";"2008MM06";"16434935"
"229";"2008MM07";"16440452"
"230";"2008MM08";"16449092"
"231";"2008MM09";"16464859"
"233";"2008MM10";"16473709"
"234";"2008MM11";"16479291"
"235";"2008MM12";"16485787"
"238";"2009MM01";"16489042"
"239";"2009MM02";"16495231"
"240";"2009MM03";"16501683"
"242";"2009MM04";"16506782"
"243";"2009MM05";"16513615"
"244";"2009MM06";"16520661"
"246";"2009MM07";"16528400"
"247";"2009MM08";"16538542"
"248";"2009MM09";"16554596"
"250";"2009MM10";"16562317"
"251";"2009MM11";"16568499"
"252";"2009MM12";"16574989"
"255";"2010MM01";"16578604"
"256";"2010MM02";"16585167"
"257";"2010MM03";"16588947"
"259";"2010MM04";"16593973"
"260";"2010MM05";"16599333"
"261";"2010MM06";"16606135"
"263";"2010MM07";"16611675"
"264";"2010MM08";"16624215"
"265";"2010MM09";"16638805"
"267";"2010MM10";"16648268"
"268";"2010MM11";"16654119"
"269";"2010MM12";"16655799"
"272";"2011MM01";"16661142"
"273";"2011MM02";"16669012"
"274";"2011MM03";"16673931"
"276";"2011MM04";"16676905"
"277";"2011MM05";"16681513"
"278";"2011MM06";"16686550"
"280";"2011MM07";"16690580"
"281";"2011MM08";"16703472"
"282";"2011MM09";"16719078"
"284";"2011MM10";"16725328"
"285";"2011MM11";"16729674"
"286";"2011MM12";"16730348"
"289";"2012MM01";"16731280"
"290";"2012MM02";"16735690"
"291";"2012MM03";"16737631"
"293";"2012MM04";"16739764"
"294";"2012MM05";"16742830"
"295";"2012MM06";"16744696"
"297";"2012MM07";"16746558"
"298";"2012MM08";"16758167"
"299";"2012MM09";"16772610"
"301";"2012MM10";"16778726"
"302";"2012MM11";"16781377"
"303";"2012MM12";"16779575"
"306";"2013MM01";"16781367"
"307";"2013MM02";"16783870"
"308";"2013MM03";"16784986"
"310";"2013MM04";"16785783"
"311";"2013MM05";"16788992"
"312";"2013MM06";"16792122"
"314";"2013MM07";"16795289"
"315";"2013MM08";"16805879"
"316";"2013MM09";"16820076"
"318";"2013MM10";"16825762"
"319";"2013MM11";"16829252"
"320";"2013MM12";"16829289"
"323";"2014MM01";"16833919"
"324";"2014MM02";"16840299"
"325";"2014MM03";"16844980"
"327";"2014MM04";"16849473"
"328";"2014MM05";"16853737"
"329";"2014MM06";"16857811"
"331";"2014MM07";"16859859"
"332";"2014MM08";"16870851"
"333";"2014MM09";"16887455"
"335";"2014MM10";"16895020"
"336";"2014MM11";"16900158"
"337";"2014MM12";"16900726"
"340";"2015MM01";"16902755"
"341";"2015MM02";"16907260"
"342";"2015MM03";"16909935"
"344";"2015MM04";"16913226"
"345";"2015MM05";"16916874"
"346";"2015MM06";"16920914"
"348";"2015MM07";"16924103"
"349";"2015MM08";"16938111"
"350";"2015MM09";"16957471"
"352";"2015MM10";"16967044"
"353";"2015MM11";"16975465"
"354";"2015MM12";"16979120"
"357";"2016MM01";"16983680"
"358";"2016MM02";"16992010"
"359";"2016MM03";"16997917"
"361";"2016MM04";"17003531"
"362";"2016MM05";"17011291"
"363";"2016MM06";"17018050"
"365";"2016MM07";"17022674"
"366";"2016MM08";"17042542"
"367";"2016MM09";"17062489"
"369";"2016MM10";"17072044"
"370";"2016MM11";"17079787"
"371";"2016MM12";"17081507"
"374";"2017MM01";"17083783"
"375";"2017MM02";"17091456"
"376";"2017MM03";"17098835"
"378";"2017MM04";"17104960"
"379";"2017MM05";"17111589"
"380";"2017MM06";"17116868"
"382";"2017MM07";"17120835"
"383";"2017MM08";"17140861"
"384";"2017MM09";"17162311"
"386";"2017MM10";"17172903"
"387";"2017MM11";"17180690"
"388";"2017MM12";"17181084"
"391";"2018MM01";"17185296"
"392";"2018MM02";"17192048"
"393";"2018MM03";"17193676"
"395";"2018MM04";"17199511"
"396";"2018MM05";"17207768"
"397";"2018MM06";"17213186"
"399";"2018MM07";"17218328"
"400";"2018MM08";"17238993"
"401";"2018MM09";"17261622"
"403";"2018MM10";"17273746"
"218";"2018MM11";"17271231"
"219";"2018MM12";"17280580"
"221";"2019MM01";"17282163"
"222";"2019MM02";"17290020"
"223";"2019MM03";"17299343"
"224";"2019MM04";"17305699"
"225";"2019MM05";"17313391"
"226";"2019MM06";"17321990"
"227";"2019MM07";"17327985"
"228";"2019MM08";"17335151"
"229";"2019MM09";"17359352"
"230";"2019MM10";"17385377"
"231";"2019MM11";"17399364"
"232";"2019MM12";"17407162"
"234";"2020MM01";"17407585"
"235";"2020MM02";"17413818"
"236";"2020MM03";"17422992"
"237";"2020MM04";"17423118"
"238";"2020MM05";"17417477"
"239";"2020MM06";"17418808"
"240";"2020MM07";"17422478"
"241";"2020MM08";"17427806"
"242";"2020MM09";"17440679"
"243";"2020MM10";"17461543"

